state,name,college_readiness_score,tested_ap,passed_ap,math_score,math_proficient,math_not_proficient,reading_score,reading_proficient,reading_not_proficient
Arizona,Duncan Unified District,N/A,N/A,N/A,2.3,57%,43%,2.9,82%,18%
Arizona,Dysart Unified District,7.5,17%,4.40%,2.6,63%,37%,2.9,84%,16%
Arizona,E-Institute Charter Schools Inc.,N/A,N/A,N/A,1.8,30%,70%,2.8,76%,24%
Arizona,E.Q. Scholars Inc.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,East Valley Institute Of Technology,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,Eastpointe High School Inc.,N/A,N/A,N/A,1.7,30%,70%,2.7,73%,27%
Arizona,Edge School Inc. The,N/A,N/A,N/A,1.6,25%,75%,2.5,62%,38%
Arizona,Edkey Inc. - Sequoia Ranch School,N/A,N/A,N/A,2.7,69%,31%,3,94%,6%
Arizona,Educational Options Foundation,N/A,N/A,N/A,1.8,29%,71%,2.7,72%,28%
Arizona,El Dorado Public Charter High School,N/A,N/A,N/A,2,33%,67%,2.7,70%,30%
Arizona,Esperanza Community Collegial Academy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,Espiritu Community Development Corp.,N/A,N/A,N/A,2.5,62%,38%,2.7,75%,25%
Arizona,Flagstaff Arts And Leadership Academy,45.1,64%,38.90%,2.7,70%,30%,3,93%,7%
Arizona,Flagstaff Unified District,13.7,18%,12.20%,2.3,52%,48%,2.8,81%,19%
Arizona,Florence Unified School District,10.1,19%,7.30%,2.6,67%,33%,2.9,87%,13%
Arizona,Flowing Wells Unified District,22.5,37%,17.70%,2.6,60%,40%,2.9,83%,17%
Arizona,Fort Thomas Unified District,N/A,N/A,N/A,2,38%,62%,2.5,54%,46%
Arizona,Fountain Hills Unified District,31.4,47%,26.20%,2.8,74%,26%,3,91%,9%
Arizona,Fredonia-Moccasin Unified District,N/A,N/A,N/A,2.3,53%,47%,2.9,84%,16%
Arizona,Ganado Unified School District,4,16%,0.00%,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,Gar Llc Dba Student Choice High School,N/A,N/A,N/A,1.4,8%,92%,2.6,62%,38%
Arizona,Genesis Program Inc.,N/A,N/A,N/A,1.5,20%,80%,2.4,44%,56%
Arizona,Gila Bend Unified District,N/A,N/A,N/A,2.2,44%,56%,2.7,73%,27%
Arizona,Gila County Regional School District,N/A,N/A,N/A,1.5,20%,80%,2.4,57%,43%
Arizona,Gilbert Unified District,31.6,36%,30.00%,3.1,81%,19%,3.1,92%,8%
Arizona,Glendale Preparatory Academy,N/A,N/A,N/A,3.7,100%,0%,3.4,100%,0%
Arizona,Glendale Union High School District,19.2,27%,16.40%,2.7,70%,30%,2.9,85%,15%
Arizona,Globe Unified District,7.6,22%,2.80%,2,37%,63%,2.8,77%,23%
Arizona,Grand Canyon Unified District,N/A,N/A,N/A,3,84%,16%,2.9,80%,20%
Arizona,Ha:San Educational Services,N/A,N/A,N/A,N/A,N/A,N/A,2.2,31%,69%
Arizona,Harvest Power Community Development Group Inc.,N/A,N/A,N/A,2.4,58%,42%,3,86%,14%
Arizona,Hayden-Winkelman Unified District,N/A,N/A,N/A,1.7,25%,75%,2.7,75%,25%
Arizona,Heber-Overgaard Unified District,N/A,N/A,N/A,2.5,63%,37%,2.8,81%,19%
Arizona,Heritage Academy Inc.,N/A,N/A,N/A,3.2,86%,14%,3.2,97%,3%
Arizona,Higley Unified School District,15.6,27%,11.90%,2.8,75%,25%,3,91%,9%
Arizona,Holbrook Unified District,7.2,15%,4.50%,2.4,59%,41%,2.9,82%,18%
Arizona,Horizon Community Learning Center Inc.,47.7,56%,44.80%,2.9,78%,22%,3.1,98%,2%
Arizona,Humanities And Sciences Academy Of The United States Inc.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,Humboldt Unified District,13.6,19%,11.70%,2.8,72%,28%,3,91%,9%
Arizona,Imagine Prep Superstition Inc.,N/A,N/A,N/A,2.5,65%,35%,2.9,92%,8%
Arizona,Imagine Prep Surprise Inc.,N/A,N/A,N/A,2.4,61%,39%,2.9,75%,25%
Arizona,Indian Oasis-Baboquivari Unified District,N/A,N/A,N/A,1.5,19%,81%,2.4,49%,51%
Arizona,Intelli-School Inc.,N/A,N/A,N/A,1.5,8%,92%,2.7,68%,32%
Arizona,International Commerce Secondary Schools Inc.,N/A,N/A,N/A,1.5,23%,77%,2.3,33%,67%
Arizona,Ira H. Hayes Memorial Applied Learning Center Inc.,N/A,N/A,N/A,1.2,0%,100%,N/A,N/A,N/A
Arizona,J O Combs Unified School District,8.2,14%,6.30%,2.6,64%,36%,2.9,86%,14%
Arizona,James Madison Preparatory School,26.6,31%,25.00%,2.9,81%,19%,3.2,100%,0%
Arizona,James Sandoval Preparatory High School,N/A,N/A,N/A,2.7,79%,21%,2.7,73%,27%
Arizona,Joseph City Unified District,N/A,N/A,N/A,2.9,79%,21%,3.1,97%,3%
Arizona,Kayenta Unified District,N/A,N/A,N/A,2.2,42%,58%,2.6,67%,33%
